Date,USD_Emerging_Mkt_index
2011-09-19,96.0042
2011-09-20,96.0095
2011-09-21,96.8091
2011-09-22,98.3526
2011-09-23,97.9681
2011-09-26,98.0069
2011-09-27,96.9592
2011-09-28,97.15
2011-09-29,97.4179
2011-09-30,98.0732
2011-10-03,98.4468
2011-10-04,98.7347
2011-10-05,97.9751
2011-10-06,97.5714
2011-10-07,96.8418
2011-10-10,
2011-10-11,96.7306
2011-10-12,96.3656
2011-10-13,96.6539
2011-10-14,96.3549
2011-10-17,96.2541
2011-10-18,96.6932
2011-10-19,96.4752
2011-10-20,97.5444
2011-10-21,97.1027
2011-10-24,96.5757
2011-10-25,96.4598
2011-10-26,96.5415
2011-10-27,95.4724
2011-10-28,95.116
2011-10-31,95.3895
2011-11-01,96.7758
2011-11-02,96.4198
2011-11-03,96.3551
2011-11-04,96.2651
2011-11-07,96.3401
2011-11-08,96.1996
2011-11-09,96.5497
2011-11-10,96.8701
2011-11-11,
2011-11-14,96.7608
2011-11-15,97.0347
2011-11-16,97.0595
2011-11-17,97.1797
2011-11-18,97.4654
2011-11-21,98.3097
2011-11-22,98.3042
2011-11-23,98.8857
2011-11-24,
2011-11-25,99.3254
2011-11-28,98.7448
2011-11-29,98.3973
2011-11-30,97.624
2011-12-01,97.2326
2011-12-02,97.0854
2011-12-05,96.9811
2011-12-06,97.1144
2011-12-07,97.1146
2011-12-08,97.5486
2011-12-09,97.561
2011-12-12,98.2126
2011-12-13,98.2938
2011-12-14,98.8069
2011-12-15,98.5495
2011-12-16,98.389
2011-12-19,98.4809
2011-12-20,98.1698
2011-12-21,98.1841
2011-12-22,98.1271
2011-12-23,98.0893
2011-12-26,
2011-12-27,98.3865
2011-12-28,98.5482
2011-12-29,98.4974
2011-12-30,98.304
2012-01-02,
2012-01-03,97.5555
2012-01-04,97.5854
2012-01-05,97.8533
2012-01-06,97.857
2012-01-09,97.8951
2012-01-10,97.3736
2012-01-11,97.4974
2012-01-12,97.2356
2012-01-13,97.2684
2012-01-16,
2012-01-17,96.7848
2012-01-18,96.3837
2012-01-19,96.0814
2012-01-20,96.1458
2012-01-23,95.8484
2012-01-24,95.939
2012-01-25,95.9078
2012-01-26,95.2303
2012-01-27,95.1198
2012-01-30,95.3876
2012-01-31,95.3102
2012-02-01,95.0495
