Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1971-08,5.47,3.35,4.52,7.25,5.06,5.93,5.17,1.2,7.17,3.78,5.35,7.86,6.01,4.98,5.15
1971-09,-0.62,-0.54,-0.03,-1.25,0.43,-0.53,-0.67,0.07,-1.58,0.69,-0.83,-0.77,-2.24,1.2,-0.38
1971-10,-6.26,-3.44,-4.22,-5.2,-5.55,-6.05,-6.4,-2.28,-5.42,-4.31,-4.11,-4.65,-6.35,-4.25,-6.94
1971-11,-0.75,0.05,0.35,0.45,-0.79,-0.61,-0.83,0.15,-0.13,0.76,-0.11,1.36,-1.48,0.23,-1.92
1971-12,10.55,8.43,9.37,9.69,10.18,11.85,9.71,8.83,7.72,9.13,9.63,8.6,12.08,9.67,10.77
1972-01,4.12,2.87,1.98,2.53,4.67,4.47,3.89,4.08,0.7,2.6,1.29,1.83,3.99,3.57,5.91
1972-02,4.51,1.51,5.08,4.05,4.3,2.52,5.84,1.33,1.86,4.72,5.5,4.12,3.89,5.75,2.71
1972-03,-1.33,0.76,0.98,1.32,0.73,-3.02,-0.23,0.35,1.51,1.02,0.93,1.53,0.87,1.54,-0.18
1972-04,0.44,0.24,0.37,1.76,1.68,1.21,-0.04,0.67,-0.55,-0.04,0.83,2.31,0.61,1.41,1.98
1972-05,0.43,0.84,3.66,1.13,2.51,-1.07,1.39,2.05,-1.4,4.71,2.48,0.8,1.82,3.46,1.43
1972-06,-3.67,-2.5,-1.67,-1.5,-1.83,-4.46,-3.19,-2.2,-3.09,-0.38,-3.15,-1.86,-0.73,-0.05,-3.9
1972-07,-3.13,-0.17,0.44,0.49,-2.4,-1.97,-4.49,1.19,-2.0,0.34,0.53,0.66,0.29,-0.17,-4.88
1972-08,3.34,3.36,4.67,2.13,0.99,5.29,1.0,2.4,4.68,3.7,5.57,3.54,0.53,1.04,0.92
1972-09,-2.15,-1.41,0.33,-0.79,-1.95,-1.49,-2.97,-1.18,-1.72,0.94,-0.23,-0.69,-0.9,-1.58,-2.4
1972-10,-1.2,-0.74,1.61,2.1,-0.58,-3.34,1.5,-1.84,0.77,0.96,2.2,2.61,1.51,0.45,-1.81
1972-11,7.81,4.66,4.69,3.59,5.89,8.94,6.45,2.97,6.9,3.65,5.62,3.58,3.61,5.19,6.73
1972-12,-0.91,1.93,1.55,2.25,0.22,-0.99,-0.81,2.75,0.87,1.45,1.64,2.24,2.27,0.39,0.03
1973-01,-6.26,-0.52,-0.56,-3.36,-5.41,-6.09,-6.47,1.28,-2.88,0.49,-1.49,-2.25,-4.66,-3.29,-7.95
1973-02,-5.91,-3.31,-4.63,-2.53,-6.05,-5.06,-6.94,-2.69,-4.14,-4.67,-4.6,-3.66,-1.18,-4.27,-8.3
1973-03,-2.46,0.15,1.14,-1.72,-2.81,-2.07,-2.96,0.0,0.37,1.03,1.24,-0.74,-2.86,-1.3,-4.81
