Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1969-10,6.19,6.95,7.35,10.6,11.88,5.32,7.03,7.03,6.87,6.66,8.0,10.34,10.85,11.79,11.93
1969-11,-3.1,-3.68,-3.54,-5.7,-7.94,-2.75,-3.49,-3.37,-3.99,-3.13,-3.95,-5.2,-6.09,-6.88,-8.46
1969-12,-2.99,-3.43,-3.66,-5.66,-10.6,-3.77,-2.2,-3.85,-3.04,-3.74,-3.59,-4.45,-6.82,-7.94,-11.86
1970-01,-3.29,-3.94,-4.43,-5.16,-3.67,-2.63,-3.95,-3.87,-4.0,-4.33,-4.53,-6.38,-4.11,-4.22,-3.43
1970-02,4.49,5.03,5.66,4.9,2.86,4.12,4.92,4.97,5.09,5.4,5.92,5.25,4.59,3.36,2.64
1970-03,0.42,0.42,-0.87,-2.26,-5.07,0.91,-0.09,0.66,0.17,-0.73,-1.0,-1.39,-2.93,-4.4,-5.41
1970-04,-9.22,-10.52,-14.07,-16.36,-22.19,-8.45,-10.05,-9.58,-11.35,-12.94,-15.12,-14.89,-17.59,-20.01,-23.26
1970-05,-8.27,-8.02,-9.7,-9.19,-9.52,-8.29,-8.24,-7.35,-8.73,-10.07,-9.34,-8.65,-9.65,-10.46,-9.07
1970-06,-2.86,-3.42,-5.62,-7.31,-11.89,-2.84,-2.88,-3.14,-3.74,-5.7,-5.55,-6.6,-8.08,-9.95,-12.89
1970-07,6.15,6.68,7.08,7.74,4.11,5.19,7.23,6.95,6.38,8.61,5.65,8.04,7.44,5.27,3.47
1970-08,3.61,4.43,5.09,7.3,8.04,3.03,4.24,4.19,4.66,5.53,4.68,7.16,7.42,7.89,8.13
1970-09,3.96,6.47,9.71,12.65,20.63,3.68,4.29,6.9,6.04,8.86,10.5,11.07,13.88,17.99,22.2
1970-10,-0.76,-1.31,-2.66,-5.89,-11.13,-0.56,-1.01,-1.39,-1.24,-2.9,-2.45,-4.61,-7.01,-8.13,-12.96
1970-11,4.69,4.33,2.53,1.88,-4.54,4.54,4.85,4.61,4.07,2.51,2.56,2.92,0.9,-1.76,-6.2
1970-12,7.9,9.43,9.08,10.75,6.69,7.42,8.41,8.36,10.43,9.18,9.0,10.07,11.38,10.41,4.68
1971-01,5.57,7.54,9.88,14.4,20.08,4.89,6.28,6.69,8.26,8.97,10.7,12.3,16.06,18.56,20.95
1971-02,1.5,2.29,3.24,4.27,7.74,1.05,1.93,2.37,2.21,3.03,3.42,5.33,3.35,6.54,8.3
1971-03,3.89,4.6,5.59,6.18,6.39,3.3,4.51,2.88,6.19,4.81,6.29,6.77,5.66,7.82,5.69
1971-04,2.24,2.73,3.67,4.46,1.79,1.5,3.02,2.68,2.79,3.91,3.42,4.15,4.72,2.44,1.5
1971-05,-3.1,-3.0,-3.5,-4.91,-6.83,-2.9,-3.31,-3.04,-2.96,-3.51,-3.5,-4.75,-5.03,-6.06,-7.13
1971-06,0.1,0.76,-0.48,-1.46,-3.72,0.39,-0.23,0.76,0.77,0.07,-0.95,-1.87,-1.13,-2.96,-4.02
1971-07,-1.94,-2.93,-3.58,-4.76,-8.82,-1.77,-2.13,-3.15,-2.7,-3.7,-3.46,-4.95,-4.58,-7.36,-9.46
1971-08,2.63,3.17,5.72,5.87,3.83,2.54,2.73,3.93,2.49,5.88,5.57,5.86,5.88,4.81,3.38
1971-09,-0.31,-0.2,0.0,-0.48,-1.25,-0.32,-0.31,0.12,-0.54,0.07,-0.06,-0.38,-0.58,-0.84,-1.49
1971-10,-1.7,-4.42,-4.99,-6.09,-8.02,-0.83,-2.65,-4.03,-4.84,-4.79,-5.15,-6.13,-6.04,-6.72,-8.7
1971-11,-1.2,-1.89,-1.97,-3.31,-5.32,-0.95,-1.47,-1.19,-2.54,-1.54,-2.35,-2.95,-3.62,-3.71,-6.15
