Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1955-08,-4.62,1.03,0.69,0.68,1.1,1.06,0.18,0.62,0.98,1.35,0.85,0.89,1.23,-0.69,1.06,1.15,0.1,-0.03,2.01
1955-09,1.42,-1.79,-1.38,0.06,-2.27,-0.56,-1.33,-0.74,-0.46,-1.77,-2.77,-0.8,-0.32,-1.06,-1.59,-2.58,1.11,-0.01,-0.93
1955-10,-1.26,-1.85,-1.86,-1.59,-1.74,-2.17,-1.72,-1.97,-1.28,-2.44,-1.05,-2.08,-2.25,-0.88,-2.56,-1.74,-2.2,-0.53,-2.05
1955-11,2.34,6.17,4.91,6.34,5.84,5.08,4.49,6.11,7.04,5.81,5.87,6.83,3.4,4.56,4.42,7.28,4.95,5.83,8.28
1955-12,-0.08,3.32,2.14,2.32,3.32,2.67,1.78,2.91,2.03,4.73,1.92,3.31,2.07,1.16,2.41,2.91,2.9,2.27,1.78
1956-01,2.33,-3.51,-2.17,-2.2,-3.78,-2.61,-1.97,-2.27,-2.26,-3.58,-3.98,-2.96,-2.27,-2.1,-1.84,-2.44,-2.09,-1.58,-2.95
1956-02,9.02,4.14,2.84,3.89,4.4,2.75,3.05,3.03,4.5,4.57,4.24,3.6,1.94,3.93,2.18,3.36,2.7,4.05,4.96
1956-03,6.1,6.28,4.94,6.36,6.1,5.49,4.17,6.25,6.8,6.12,6.08,6.66,4.37,4.44,3.89,7.02,5.48,6.83,6.78
1956-04,4.31,-0.16,0.56,1.42,-0.44,0.49,0.31,1.08,1.56,0.52,-1.39,0.4,0.57,1.21,-0.58,1.01,1.15,1.34,1.79
1956-05,-1.8,-4.14,-3.18,-4.62,-4.68,-2.72,-2.83,-4.43,-4.83,-5.49,-3.87,-3.03,-2.42,-2.99,-2.67,-4.64,-4.21,-4.75,-4.9
1956-06,-5.65,3.25,2.88,2.71,2.65,3.26,3.04,2.73,3.03,2.46,2.83,4.5,2.07,3.38,2.7,3.41,2.06,3.26,2.8
1956-07,-3.7,3.85,4.35,5.5,4.01,4.09,4.19,4.49,5.95,4.25,3.76,3.54,4.65,4.8,3.57,4.38,4.6,5.01,6.87
1956-08,-7.69,-2.45,-1.3,-0.9,-2.8,-2.1,-1.1,-0.37,-1.25,-2.49,-3.11,-1.75,-2.46,-1.17,-1.02,-0.52,-0.21,-1.55,-0.95
1956-09,2.08,-4.94,-3.9,-3.05,-5.5,-3.72,-4.39,-3.12,-3.06,-5.4,-5.6,-3.83,-3.62,-4.35,-4.42,-3.2,-3.03,-3.22,-2.91
1956-10,-6.12,0.69,0.55,1.43,-0.12,1.03,0.86,1.4,1.08,-0.49,0.25,2.31,-0.24,1.13,0.59,0.7,2.1,0.5,1.66
1956-11,6.52,0.16,0.34,1.61,-1.63,1.76,0.62,0.61,1.96,-1.78,-1.49,3.72,-0.19,0.33,0.91,0.3,0.91,1.86,2.06
1956-12,-14.29,3.49,2.66,3.55,3.74,2.56,2.64,2.97,3.97,4.31,3.17,3.0,2.12,3.43,1.84,3.24,2.71,3.22,4.71
1957-01,11.9,-1.17,0.68,-1.59,-1.62,0.44,0.47,-0.52,-1.56,-1.92,-1.31,-0.28,1.15,-0.13,1.08,0.62,-1.67,-1.61,-1.5
1957-02,-6.38,-1.16,-2.16,-2.58,-1.15,-1.23,-2.31,-2.38,-2.87,-1.48,-0.81,-1.19,-1.26,-2.39,-2.23,-2.75,-2.0,-2.17,-3.55
1957-03,29.55,2.98,1.93,1.96,3.59,1.52,2.07,2.41,1.68,3.85,3.32,1.78,1.27,1.72,2.43,2.31,2.51,2.0,1.37
1957-04,-5.26,3.7,2.1,2.96,3.46,3.06,2.08,2.09,3.5,3.7,3.22,4.16,1.97,1.76,2.39,2.3,1.89,3.06,3.92
1957-05,1.85,3.25,2.22,1.64,3.53,1.99,2.44,2.16,1.67,3.47,3.59,2.7,1.27,2.58,2.3,2.75,1.57,1.46,1.87
1957-06,14.55,-0.75,-2.14,-0.75,-0.19,-1.9,-2.3,-1.53,-0.6,0.59,-1.0,-1.87,-1.94,-2.09,-2.52,-2.02,-1.04,-0.77,-0.43
1957-07,-1.13,0.72,0.29,1.08,1.17,0.32,0.14,0.46,1.18,0.08,2.28,-0.18,0.83,-0.13,0.41,0.07,0.86,-0.49,2.86
1957-08,-2.38,-5.3,-4.0,-4.91,-5.91,-4.24,-4.04,-3.69,-5.43,-6.34,-5.46,-4.06,-4.43,-3.44,-4.65,-3.51,-3.87,-4.64,-6.22
